timestep,hh_1,hh_2,hh_3
676,283.1,203.24,1535.1
677,683.11,193.05,774.18
678,643.03,877.24,1193.1
679,1690.1,1431,637.11
680,2035.1,430.22,1218.1
681,1445.5,281.35,620.25
682,2097.2,265.99,452.11
683,3105.1,266.06,358.1
684,2669.2,266.98,603.15
685,2480.3,279.07,1590
686,3107,758.06,481.24
687,4752.6,1280.1,531.17
688,3572.2,608.33,1373.2
689,3326,769.18,1083.2
690,3098.1,761.1,1545.1
691,3260.1,1049.2,2163.2
692,2312.1,2330.1,1939.2
693,2093.1,1064,1780.2
694,2291.2,381.19,1528.1
695,1229.1,325.18,1916.1
696,1113.1,348.14,923.11
697,862.25,244.18,534.1
698,242.15,176.19,537.17
699,178.07,190.17,491.11
700,226.19,174.28,1526.1
701,191.97,201.05,632.22
702,158.23,211.92,1018.2
703,1661,197.1,697.96
704,1388.1,1707.1,1428.1
705,2499.1,702.13,723.18
706,2461.1,680.21,867.16
707,1677.1,908.15,756.24
708,1618.1,1607.2,812.14
709,2859.1,2689,1642.4
710,2746.3,2808,1538.1
711,4086.4,474.24,1456.1
712,3400.2,945.11,2769.1
713,3341.1,1483.3,1988.1
714,2631.2,1975.2,2034.1
715,2520.2,3831,2071.3
716,2596.1,755.08,2340.1
717,1628.1,616.22,1552.1
718,1751.2,610.95,1467.3
719,753.13,388.22,2176.1
720,620.01,277.16,1044.2
721,557.07,181.06,861.03
722,284.99,203.05,677.18
723,367.96,194.08,764.13
724,277.14,200.99,1679.1
725,386.03,204.98,664.14
726,403.14,193.07,1219.1
727,1593.1,215.05,763.2
728,1602.1,1457.2,1692.1
729,1869.2,659.25,907.14
730,2978.1,1399.2,726.11
731,2898.1,3238.2,934.07
732,2841.2,1908.1,2350.1
733,3410.2,1817.2,1889.1
734,2997.1,790.11,949.21
735,2826.1,4033.9,924.09
736,2761.1,1646.1,1825.1
737,2766.2,725.17,1005.1
738,1724.1,846.1,1808.2
739,3141,903.19,1907.1
740,2344.2,985.17,1432.2
741,2634.1,966.15,1435.1
742,2624.1,620.18,1193.1
743,1715.1,408.08,1925.1
744,1319.2,232.04,594.2
745,1035.1,216.4,615.17
746,255.13,207.19,541.16
747,206.04,217.29,527.11
748,350.09,215.09,1618.2
749,416.06,217.12,599.22
750,361.04,603.21,1271.1
751,1722.1,1105.1,978.05
752,3270.2,219.16,1219.1
753,4349.9,365.26,817.28
754,3041.3,447.15,1832.1
755,2010.1,591.17,748.06
756,1805.1,647.12,705.16
757,2650.1,622.08,1644.1
758,3565.2,737.09,752.06
759,2530.2,1244.2,783.21
760,2290.1,874.22,1644.2
761,2600.1,932.19,1022.2
762,2741.1,952.3,1724.2
763,2900.1,1296.1,2200.1
764,2723,1099,1518.1
765,1549,1021.2,1699
766,1602.1,422.05,1803.1
767,824.15,387.12,1943.2
768,769.18,210.1,743.01
769,707.17,200.99,720.12
770,539.08,200.2,620.12
771,479.22,179.08,649.14
772,531.18,201.14,1675.1
773,621.18,212.06,975.14
774,566.07,759.22,1377.1
775,1737.1,1122.2,731.11
776,2978.1,224.18,1092.1
777,2996,1298.1,646.16
778,2995.2,307.22,1409.1
779,2873.1,563.24,652.06
780,2883,343.19,680.07
781,2810.1,1198.1,1613.2
782,3239.2,1591.2,950.12
783,3767.1,2003.1,1004.1
784,2404.1,780.11,1768.2
785,2903.1,654.06,1002.1
786,2106.2,1009.1,1835.1
787,2140,1266.1,2433.2
788,2917.1,1243.1,1463.1
789,2964.1,1371.2,1307.1
790,2115.1,580.07,1066.1
791,1667.1,445.09,1679.1
792,1231.2,245.99,733.15
793,655.04,239.13,754.15
794,676.1,216.19,646.24
795,897.99,221.09,587.02
796,650.23,199.15,1610.1
797,668.12,235.12,873.11
798,681.16,823.13,1363.1
799,2005.1,1136.1,701.18
800,2388.2,293.01,1058.2
801,3350.2,489.12,593.16
802,2954.1,444.87,999.19
803,2071.1,467.05,764.24
804,1612.1,575.06,650.15
805,1663.2,576.19,1471.1
806,2763.2,964.12,596.05
807,1423.1,1410.1,675.28
808,3796.3,761.1,1679.2
809,3278.2,959.11,979.1
810,2507.1,798.05,1839.1
811,2491.1,922.13,2187.1
812,2624.1,1051.1,1601.1
813,2175.1,700.95,1357
814,2016.2,424,1123
815,1008.1,313.16,1963.1
816,708.14,215.17,786.23
817,471.14,205.3,757.22
818,326.07,214.19,716.09
819,399.08,197.08,655
820,586.17,213.05,1642.2
821,504.12,212.03,717.15
822,828.14,900.04,1482.2
823,2096,1117.1,722.1
824,1534.1,247.19,1108.1
825,3399.2,354.26,749.17
826,2881.3,506.11,682.04
827,2788.1,814.08,854.12
828,2149.1,953.09,747.06
829,1469.1,284.14,1579
830,2358.1,623.05,671.14
831,2508.1,1165.1,737.01
832,2362.2,510.24,1603.1
833,1859.2,572.04,1048
834,1634.1,1377.2,1589.1
835,1871.1,2003.2,1787.1
836,1660,1431.1,1675.1
837,3564.1,693.15,1705.2
838,4091,462.99,1241
839,2543.2,432.01,1933.1
840,882.2,322.2,632.13
841,1109.1,211.09,689.1
842,799.28,194.02,769.12
843,430,222.22,655.07
844,985.09,211.16,1636.1
845,769.11,222.18,700.13
846,817.12,876,1328.1
847,2050.1,1147.2,670.12
848,1882.1,227.07,1155.2
849,4075.3,867.19,1063.2
850,2456.1,410.18,1381.1
851,1377.1,386.17,813.12
852,2037.1,302.17,802.08
853,1625.1,308.07,2039.2
854,2693.1,588.09,738.06
855,2702.1,1113.1,1097.3
856,3299.1,482.03,1612.1
857,2931.2,503.24,1240.1
858,2859.1,942.14,1788.1
859,2381.1,1687.2,1677.1
860,2006.1,1592.2,1435.2
861,2066.1,1107.1,1206.1
862,2131.2,658.14,1060.1
863,1144.2,444.1,2067.1
864,851.22,266.06,1023.2
865,745.19,176.1,920.11
866,247.2,202.08,667.15
867,213.04,207.22,791.27
868,209.1,181.16,1669.1
869,175.16,192.93,618.17
870,209.22,202.17,1135.1
871,1578.2,191.21,711.17
872,1301.2,1710.1,1409
873,2876.2,964.19,814.18
874,2736,2024.1,854.23
875,4099,1272.2,742.15
876,3155,1080.2,2005.1
877,2042.2,458.05,1676.1
878,2289.1,639.13,834.2
879,3799.3,467.11,671.13
880,3745.1,581.13,1380.2
881,3592.3,526.09,872.13
882,3393.2,444.04,1555.1
883,3091.2,613.07,1326.1
884,1968.1,416.17,1381.1
885,1522.2,851.18,2706.2
886,1624.1,855.16,1748.2
887,531.05,395.09,2551.1
888,494.09,247.11,1170.2
889,535.94,192.16,850.11
890,261.14,197.12,676.02
891,216.13,219.01,677.16
892,182.08,226.09,1854.1
893,179.15,197.06,678.06
894,226.07,200.12,1065.1
895,1569.1,223.13,676.23
896,1346.1,1539.1,1275.1
897,2297,749.14,1111.1
898,3041.1,760.21,725.08
899,2681.1,2686.3,1470.1
900,2519.1,2775.1,2895
901,1815.2,2156.1,2219.2
902,2628.2,3175.1,1280.1
903,1961.1,832.14,1033.1
904,2831.1,2658.2,1807.1
905,2931.2,889.08,1252.2
906,2206.1,769.13,2024.3
